Year,Region,Currency,Computer ID,CPU series,CPU name,CPU sales,CPU sales (USD),Total sales,Total sales (USD),Total sales CPU Series (USD),Sales Percentage on CPU Series
2013,analucia,EUR,66417,Intel Xeon,Intel Xeon E7-4870,3941.9899999999998,4336.1899999999996,4159.8900000000003,4575.8800000000001,28164049.659999944,0.02
2013,analucia,EUR,66418,Intel Xeon,Intel Xeon E7-4870,3941.9899999999998,4336.1899999999996,4125.2799999999997,4537.8100000000004,28164049.659999944,0.02
2013,analucia,EUR,66419,Intel Xeon,Intel Xeon E7-4870,3941.9899999999998,4336.1899999999996,4149.1400000000003,4564.0500000000002,28164049.659999944,0.02
2013,analucia,EUR,66420,Intel Xeon,Intel Xeon E7-4870,3941.9899999999998,4336.1899999999996,4119.0500000000002,4530.96,28164049.659999944,0.02
2013,analucia,EUR,66421,Intel Xeon,Intel Xeon E7-4870,3941.9899999999998,4336.1899999999996,4125.7799999999997,4538.3599999999997,28164049.659999944,0.02
2013,analucia,EUR,66422,Intel Xeon,Intel Xeon E7-4870,3941.9899999999998,4336.1899999999996,4146.8199999999997,4561.5,28164049.659999944,0.02
2013,analucia,EUR,66423,Intel Xeon,Intel Xeon E7-4870,3941.9899999999998,4336.1899999999996,4149.5100000000002,4564.46,28164049.659999944,0.02
2013,analucia,EUR,66424,Intel Xeon,Intel Xeon E7-4870,3941.9899999999998,4336.1899999999996,4199.3800000000001,4619.3199999999997,28164049.659999944,0.02
2013,analucia,EUR,66425,Intel Xeon,Intel Xeon E7-4870,3941.9899999999998,4336.1899999999996,4164.96,4581.46,28164049.659999944,0.02
2013,analucia,EUR,66426,Intel Xeon,Intel Xeon E7-4870,3941.9899999999998,4336.1899999999996,4159.4700000000003,4575.4200000000001,28164049.659999944,0.02
2013,analucia,EUR,66427,Intel Xeon,Intel Xeon E7-4870,3941.9899999999998,4336.1899999999996,4175.2600000000002,4592.79,28164049.659999944,0.02
2013,analucia,EUR,66428,Intel Xeon,Intel Xeon E7-4870,3941.9899999999998,4336.1899999999996,4203.6300000000001,4623.9899999999998,28164049.659999944,0.02
2013,analucia,EUR,66429,Intel Xeon,Intel Xeon E7-4870,3941.9899999999998,4336.1899999999996,4111.1800000000003,4522.3000000000002,28164049.659999944,0.02
2013,analucia,EUR,66430,Intel Xeon,Intel Xeon E7-4870,3941.9899999999998,4336.1899999999996,4160.2299999999996,4576.25,28164049.659999944,0.02
2013,analucia,EUR,66431,Intel Xeon,Intel Xeon E7-4870,3941.9899999999998,4336.1899999999996,4132.4700000000003,4545.7200000000003,28164049.659999944,0.02
2013,analucia,EUR,66432,Intel Xeon,Intel Xeon E7-4870,3941.9899999999998,4336.1899999999996,4114.1199999999999,4525.5299999999997,28164049.659999944,0.02
2013,analucia,EUR,66433,Intel Xeon,Intel Xeon E7-4870,3941.9899999999998,4336.1899999999996,4115.1000000000004,4526.6099999999997,28164049.659999944,0.02
2013,analucia,EUR,66434,Intel Xeon,Intel Xeon E7-4870,3941.9899999999998,4336.1899999999996,4127.4200000000001,4540.1599999999999,28164049.659999944,0.02
2013,analucia,EUR,66435,Intel Xeon,Intel Xeon E7-4870,3941.9899999999998,4336.1899999999996,4164.1999999999998,4580.6199999999999,28164049.659999944,0.02
2013,analucia,EUR,66436,Intel Xeon,Intel Xeon E7-4870,3941.9899999999998,4336.1899999999996,4220.0500000000002,4642.0600000000004,28164049.659999944,0.02
2013,analucia,EUR,66437,Intel Xeon,Intel Xeon E7-4870,3941.9899999999998,4336.1899999999996,4573.1300000000001,5030.4399999999996,28164049.659999944,0.02
2013,analucia,EUR,66438,Intel Xeon,Intel Xeon E7-4870,3941.9899999999998,4336.1899999999996,4123.4300000000003,4535.7700000000004,28164049.659999944,0.02
2013,analucia,EUR,66439,Intel Xeon,Intel Xeon E7-4870,3941.9899999999998,4336.1899999999996,4153.5900000000001,4568.9499999999998,28164049.659999944,0.02
2013,analucia,EUR,66440,Intel Xeon,Intel Xeon E7-4870,3941.9899999999998,4336.1899999999996,4220.7799999999997,4642.8599999999997,28164049.659999944,0.02
2013,analucia,EUR,66441,Intel Xeon,Intel Xeon E7-4870,3941.9899999999998,4336.1899999999996,4232.7399999999998,4656.0100000000002,28164049.659999944,0.02
2013,analucia,EUR,66442,Intel Xeon,Intel Xeon E7-4870,3941.9899999999998,4336.1899999999996,4165.0500000000002,4581.5600000000004,28164049.659999944,0.02
2013,analucia,EUR,66443,Intel Xeon,Intel Xeon E7-4870,3941.9899999999998,4336.1899999999996,4194.5699999999997,4614.0299999999997,28164049.659999944,0.02
2013,analucia,EUR,66444,Intel Xeon,Intel Xeon E7-4870,3941.9899999999998,4336.1899999999996,4278.0900000000001,4705.8999999999996,28164049.659999944,0.02
2013,analucia,EUR,66445,Intel Xeon,Intel Xeon E7-4870,3941.9899999999998,4336.1899999999996,4130.3000000000002,4543.3299999999999,28164049.659999944,0.02
2013,analucia,EUR,66446,Intel Xeon,Intel Xeon E7-4870,3941.9899999999998,4336.1899999999996,4414.5699999999997,4856.0299999999997,28164049.659999944,0.02
2013,analucia,EUR,66447,Intel Xeon,Intel Xeon E7-4870,3941.9899999999998,4336.1899999999996,4726.5600000000004,5199.2200000000003,28164049.659999944,0.02
2013,analucia,EUR,66448,Intel Xeon,Intel Xeon E7-4870,3941.9899999999998,4336.1899999999996,4128.8100000000004,4541.6899999999996,28164049.659999944,0.02
2013,analucia,EUR,66449,Intel Xeon,Intel Xeon E7-4870,3941.9899999999998,4336.1899999999996,4218.9899999999998,4640.8900000000003,28164049.659999944,0.02
2013,analucia,EUR,66450,Intel Xeon,Intel Xeon E7-4870,3941.9899999999998,4336.1899999999996,4114.0600000000004,4525.4700000000003,28164049.659999944,0.02
2013,analucia,EUR,66451,Intel Xeon,Intel Xeon E7-4870,3941.9899999999998,4336.1899999999996,4126.4700000000003,4539.1199999999999,28164049.659999944,0.02
2013,analucia,EUR,66452,Intel Xeon,Intel Xeon E7-4870,3941.9899999999998,4336.1899999999996,4103.0100000000002,4513.3100000000004,28164049.659999944,0.02
2013,analucia,EUR,66453,Intel Xeon,Intel Xeon E7-4870,3941.9899999999998,4336.1899999999996,4179.1000000000004,4597.0100000000002,28164049.659999944,0.02
2013,analucia,EUR,66454,Intel Xeon,Intel Xeon E7-4870,3941.9899999999998,4336.1899999999996,4206.7600000000002,4627.4399999999996,28164049.659999944,0.02
2013,analucia,EUR,66455,Intel Xeon,Intel Xeon E7-4870,3941.9899999999998,4336.1899999999996,4140.6099999999997,4554.6700000000001,28164049.659999944,0.02
2013,analucia,EUR,66456,Intel Xeon,Intel Xeon E7-4870,3941.9899999999998,4336.1899999999996,4207.1300000000001,4627.8400000000001,28164049.659999944,0.02
